รหัสวิชา,ชื่อวิชา,หน่วยกิจ
03602331-65,"Industrial Safety
ความปลอดภัยในอุตสาหกรรม",3(3-0-6)
03602341-65,"Industrial Work Study
การศึกษาการทำงานทางอุตสาหกรรม",3(3-0-6)
03602342-65,"Production Planning and Control
การวางแผนและการควบคุมการผลิต",3(3-0-6)
03602343-65,"Industrial Plant and Facilities Design
การออกแบบโรงงานอุตสหากรรมและสิ่งอำนวยความสะดวก",3(3-0-6)
03602351-65,"Industrial Cost Analysis
การวิเคราะห์ต้นทุนทางอุตสาหกรรม",3(3-0-6)
03602361-65,"Computer Applications for Industrial Engineers
คอมพิวเตอร์ประยุกต์สำหรับวิศวกรอุตสาหการ",3(3-0-6)
03602362-65,"Automatic Production System
ระบบการผลิตอัตโนมัติ",4(3-3-8)
03602421-65,"Simulation
การจำลองสถานการณ์",3(3-0-6)
03602433-65,"Maintenance Engineering
วิศวกรรมการซ่อมบำรุง",3(3-0-6)
03602461-65,"Systems Engineering
วิศวกรรมระบบ",3(3-0-6)
03602481-65,"Industrial Engineering Laboratory
ปฏิบัติการวิศวกรรมอุตสาหการ",1(0-3-2)
03602495-65,"Industrial and Systems Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมอุตสาหการและระบบ",1(0-3-2)
03602499-65,"Industrial and Systems Engineering Project
โครงงานวิศวกรรมอุตสาหการและระบบ",2(0-6-3)
03604203-65,"Introduction to Thermodynamics and Fluid Mechanics
อุณหพลศาสตร์และกลศาสตร์ของไหลเบื้องต้น",3(3-0-6)
03604223-65,"Basic Principles of Engineering Mechanics
หลักพื้นฐานทางกลศาสตร์ของไหลเบื้องต้น",3(3-0-6)
03604281-65,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2)
03604381-65,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2)
03600490-65,"Cooperative Education
สหกิจศึกษา",6
03600390-65,"Cooperative Education Preparation
การเตรียมความพร้อมสหกิจศึกษา",3(3-0-6)
03602323-65,"Operations Research for Engineers II
การวิจัยการดำเนินงานสำหรับวิศวกร II",3(3-0-6)
03602412-65,"Manufacturing System Engineering
วิศวกรรมระบบการผลิต",3(3-0-6)
03602413-65,"Industrial Packaging
การบรรจุภัณฑ์ทางอุตสาหกรรม",3(3-0-6)
03602414-65,"Computer-Aided Design and Manufacturing
การออกแบบและผลิตใช้คอมพิวเตอร์ช่วย",3(2-3-6)
03602415-65,"Computer-Aided Engineering and Manufacturing
คอมพิวเตอร์ช่วนในงานวิศวกรรมและการผลิต",3(2-3-6)
03602416-65,"Applied Image Processing for Manufacturing Processes
การประมวลผลภาพเชิงประยุกต์สำหรับกระบวนการผลิต",3(3-0-6)
03602417-65,"Innovative Product Design and Manufacturing
การออกแบบและการผลิตภัณฑ์เชิงนวัตกรรม",3(3-0-6)
03602418-65,"Application of Industrial Internet of Things in Manufacturing Systems
การประยุกต์อินเตอร์เน็ตสรรพสิ่งสำหรับอุตสาหกรรมในระบบการผลิต",3(3-0-6)
03602422-65,"Practical Operations Research
การวิจัยการดำเนินงานภาคปฏิบัติ",3(3-0-6)
03602431-65,"Innovative Industrial Management
การจัดการนวัตกรรมอุตสาหกรรม",3(3-0-6)
03602432-65,"Design of Industrial Information System
การออกแบบระบบสารสนเทศทางอุตสาหกรรม",3(3-0-6)
03602434-65,"Lean Manufacturing
การจัดการพลังงาน",3(3-0-6)
03602441-65,"Shop Floor Management
การบริหารพื้นที่ผลิต",3(3-0-6)
03602442-65,"Energy Management
การจัดการพลังงาน",3(3-0-6)
03602443-65,"Ergonomics
การยศาสตร์",3(3-0-6)
03602445-65,"Value Engineering
วิศวกรรมคุณค่า",3(3-0-6)
03602446-65,"Productivity Measurement and Management
การวัดและการจัดการผลิตภาพ",3(3-0-6)
03602451-65,"Industrial Project Feasibility Study
การศึกษาความเป็นไปได้ของโครงการอุตสาหกรรม",3(3-0-6)
03602471-65,"Logistics Engineering
วิศวกรรมโลจิสติกส์",3(3-0-6)
03602472-65,"Inventory Management and Warehouse Operations
การจัดการสินค้าคงคลังและการดำเนินงานคลังสินค้า",3(3-0-6)
03602473-65,"Strategies for Managing Supply Chains
กลยุทธ์สำหรับการจัดการโซ่อุปทาน",3(3-0-6)
03602496-65,"Selected Topics in Industrial and Systems Engineering
เรื่องเฉพาะทางวิศวกรรมอุตสาหการและระบบ",45352
03602498-65,"Special Problems
ปัญหาพิเศษ",45352
